2014 top list			
Rank	Mark	Competitor	Nat
	( 11.13/3.6 - 7.09/0.0 - 13.55 - 1.93 - 52.33 / 15.10/2.7 - 44.07 - 4.50 - 64.17 - 4:40.44 )		
34	7618	Reinis Kregers	LAT
	( 11.34/0.0 - 7.09/1.2 - 13.19 - 1.96 - 49.96 / 15.31/0.5 - 45.84 - 4.39 - 60.70 - 4:42.71 )		
35	7617	Gonzalo Barroilhet	CHI
	( 11.34/0.1 - 6.86/1.8 - 13.86 - 2.00 - 52.94 / 14.22/0.6 - 47.63 - 5.10 - 52.35 - 5:08.50 )		
36	7602	Wolf Mahler	USA
	( 10.86/0.0 - 6.93/1.0 - 11.98 - 1.84 - 47.27 / 14.84/0.5 - 40.09 - 4.79 - 49.44 - 4:30.50 )		
37	7601	Jake Stein	AUS
	( 11.56/-0.8 - 7.29/0.3 - 13.81 - 1.91 - 51.38 / 15.04/0.5 - 47.26 - 4.50 - 66.88 - 5:05.99 )		
38	7592	Kevin Lazas	USA
	( 10.99/2.9 - 6.94/0.0 - 13.54 - 1.87 - 52.41 / 15.17/2.8 - 38.95 - 5.30 - 59.79 - 4:48.92 )		
39	7582	Yufei Hu	CHN
	( 11.24/0.5 - 7.17/0.8 - 13.50 - 2.01 - 50.27 / 14.56/0.5 - 41.89 - 4.60 - 49.22 - 4:47.43 )		
40	7573	Johannes Hock	GER
	( 10.67/2.9 - 7.00/0.0 - 15.08 - 1.87 - 51.58 / 14.57/3.7 - 50.30 - 4.60 - 35.79 - 4:44.96 )		
41	7572	Fredriech Pretorius	RSA
	( 11.16/0.7 - 7.08/0.1 - 12.35 - 1.95 - 49.60 / 14.48/-0.2 - 40.24 - 4.60 - 53.80 - 4:40.41 )		
42	7537	Guillaume Thierry	MRI
	( 11.51/0.4 - 7.06/1.3 - 13.87 - 1.92 - 52.65 / 14.97/-0.2 - 43.77 - 4.70 - 61.10 - 4:45.94 )		
43	7521	Thomas Barrineau	FIN
	( 11.13/0.0 - 6.66/0.9 - 12.90 - 1.92 - 49.54 / 14.89/0.3 - 35.90 - 5.05 - 55.08 - 4:38.09 )		
44	7517	Benjamin Gregory	GBR
	( 11.00/0.7 - 7.27/1.3 - 12.74 - 1.84 - 50.62 / 14.61/0.8 - 38.70 - 4.80 - 50.96 - 4:38.04 )		
45	7508	Robert Cardina	USA
	( 10.99/2.9 - 7.06/0.0 - 12.90 - 2.14 - 50.69 / 14.98/2.8 - 39.92 - 4.20 - 57.11 - 5:00.43 )		
